,Player,Player_ID,Player_NFL_Link,Player_NCAA_Link
5590,Jeff Weston,WestJe21,http://www.pro-football-reference.com/players/W/WestJe21.htm,
5591,John Spagnola,SpagJo00,http://www.pro-football-reference.com/players/S/SpagJo00.htm,http://www.sports-reference.com/cfb/players/john-spagnola-1.html
5592,Jeff Rutledge,RutlJe00,http://www.pro-football-reference.com/players/R/RutlJe00.htm,http://www.sports-reference.com/cfb/players/jeff-rutledge-1.html
5593,Garry Cobb,CobbGa20,http://www.pro-football-reference.com/players/C/CobbGa20.htm,
5594,Richard Kirk,,http://www.pro-football-reference.com,
5595,Player,,http://www.pro-football-reference.com,
5596,Dwight Clark,ClarDw00,http://www.pro-football-reference.com/players/C/ClarDw00.htm,http://www.sports-reference.com/cfb/players/dwight-clark-1.html
5597,Nathan Poole,PoolNa00,http://www.pro-football-reference.com/players/P/PoolNa00.htm,http://www.sports-reference.com/cfb/players/nathan-poole-1.html
5598,Mike Dupree,,http://www.pro-football-reference.com,
5599,Howard Ballage,,http://www.pro-football-reference.com,http://www.sports-reference.com/cfb/players/howard-ballage-1.html
5600,David Marler,,http://www.pro-football-reference.com,http://www.sports-reference.com/cfb/players/dave-marler-1.html
5601,Steve Stephens,StepSt20,http://www.pro-football-reference.com/players/S/StepSt20.htm,http://www.sports-reference.com/cfb/players/steve-stephens-1.html
5602,Jerry Holloway,,http://www.pro-football-reference.com,
5603,Dan Fowler,FowlDa20,http://www.pro-football-reference.com/players/F/FowlDa20.htm,
